Frequency [Hz], |S00| [-], |S10| [-], |S20| [-], |S30| [-], Arg(S00) [-], Arg(S10) [-], Arg(S20) [-], Arg(S30) [-], Delay 0>0 [s], Delay 0>1 [s], Delay 0>2 [s], Delay 0>3 [s], |Z0| [Ohm] , Arg(Z0) [-]
2.000000e+08, 7.433498e-02, 9.943189e-01, 2.472666e-02, 5.513469e-03, 2.983578e+00, -2.205802e-01, 1.424906e+00, -9.970922e-01, 1.114883e-10, 1.768168e-10, 1.468847e-10, 3.966393e-10, 4.316202e+01, 2.352002e-02
2.038000e+08, 7.419665e-02, 9.943274e-01, 2.519190e-02, 5.642605e-03, 2.980916e+00, -2.248019e-01, 1.421399e+00, -1.006562e+00, 1.111428e-10, 1.767955e-10, 1.458994e-10, 3.935223e-10, 4.317662e+01, 2.386773e-02
2.076000e+08, 7.405595e-02, 9.943359e-01, 2.565656e-02, 5.772055e-03, 2.978263e+00, -2.290231e-01, 1.417916e+00, -1.015958e+00, 1.107829e-10, 1.767755e-10, 1.449483e-10, 3.905214e-10, 4.319146e+01, 2.421179e-02
2.114000e+08, 7.391288e-02, 9.943446e-01, 2.612060e-02, 5.901808e-03, 2.975618e+00, -2.332438e-01, 1.414455e+00, -1.025282e+00, 1.104088e-10, 1.767567e-10, 1.440296e-10, 3.876304e-10, 4.320653e+01, 2.455213e-02
2.152000e+08, 7.376747e-02, 9.943534e-01, 2.658401e-02, 6.031855e-03, 2.972981e+00, -2.374640e-01, 1.411016e+00, -1.034537e+00, 1.100211e-10, 1.767391e-10, 1.431415e-10, 3.848432e-10, 4.322183e+01, 2.488867e-02
2.190000e+08, 7.361972e-02, 9.943623e-01, 2.704677e-02, 6.162187e-03, 2.970355e+00, -2.416839e-01, 1.407598e+00, -1.043726e+00, 1.096200e-10, 1.767226e-10, 1.422825e-10, 3.821542e-10, 4.323735e+01, 2.522134e-02
2.228000e+08, 7.346964e-02, 9.943714e-01, 2.750885e-02, 6.292794e-03, 2.967737e+00, -2.459033e-01, 1.404201e+00, -1.052850e+00, 1.092057e-10, 1.767072e-10, 1.414511e-10, 3.795581e-10, 4.325311e+01, 2.555007e-02
2.266000e+08, 7.331724e-02, 9.943805e-01, 2.797023e-02, 6.423666e-03, 2.965130e+00, -2.501224e-01, 1.400824e+00, -1.061913e+00, 1.087785e-10, 1.766927e-10, 1.406462e-10, 3.770499e-10, 4.326908e+01, 2.587480e-02
2.304000e+08, 7.316253e-02, 9.943897e-01, 2.843089e-02, 6.554795e-03, 2.962533e+00, -2.543411e-01, 1.397466e+00, -1.070915e+00, 1.083387e-10, 1.766791e-10, 1.398666e-10, 3.746251e-10, 4.328528e+01, 2.619544e-02
2.342000e+08, 7.300553e-02, 9.943991e-01, 2.889080e-02, 6.686170e-03, 2.959946e+00, -2.585596e-01, 1.394126e+00, -1.079860e+00, 1.078864e-10, 1.766664e-10, 1.391112e-10, 3.722790e-10, 4.330170e+01, 2.651194e-02
2.380000e+08, 7.284625e-02, 9.944085e-01, 2.934994e-02, 6.817782e-03, 2.957370e+00, -2.627777e-01, 1.390805e+00, -1.088748e+00, 1.074217e-10, 1.766545e-10, 1.383792e-10, 3.700077e-10, 4.331833e+01, 2.682424e-02
2.418000e+08, 7.268469e-02, 9.944181e-01, 2.980828e-02, 6.949622e-03, 2.954805e+00, -2.669955e-01, 1.387501e+00, -1.097583e+00, 1.069449e-10, 1.766434e-10, 1.376696e-10, 3.678071e-10, 4.333518e+01, 2.713228e-02
2.456000e+08, 7.252087e-02, 9.944277e-01, 3.026580e-02, 7.081678e-03, 2.952252e+00, -2.712130e-01, 1.384214e+00, -1.106364e+00, 1.064560e-10, 1.766330e-10, 1.369818e-10, 3.656737e-10, 4.335225e+01, 2.743598e-02
2.494000e+08, 7.235481e-02, 9.944375e-01, 3.072247e-02, 7.213942e-03, 2.949710e+00, -2.754303e-01, 1.380943e+00, -1.115095e+00, 1.059551e-10, 1.766233e-10, 1.363150e-10, 3.636040e-10, 4.336952e+01, 2.773531e-02
2.532000e+08, 7.218650e-02, 9.944473e-01, 3.117826e-02, 7.346404e-03, 2.947180e+00, -2.796474e-01, 1.377689e+00, -1.123777e+00, 1.054423e-10, 1.766142e-10, 1.356687e-10, 3.615947e-10, 4.338701e+01, 2.803019e-02
2.570000e+08, 7.201596e-02, 9.944572e-01, 3.163315e-02, 7.479054e-03, 2.944663e+00, -2.838643e-01, 1.374449e+00, -1.132410e+00, 1.049178e-10, 1.766058e-10, 1.350423e-10, 3.596427e-10, 4.340470e+01, 2.832057e-02
2.608000e+08, 7.184321e-02, 9.944673e-01, 3.208711e-02, 7.611882e-03, 2.942158e+00, -2.880809e-01, 1.371225e+00, -1.140997e+00, 1.043814e-10, 1.765980e-10, 1.344353e-10, 3.577451e-10, 4.342260e+01, 2.860640e-02
2.646000e+08, 7.166826e-02, 9.944774e-01, 3.254010e-02, 7.744878e-03, 2.939665e+00, -2.922974e-01, 1.368015e+00, -1.149539e+00, 1.038333e-10, 1.765908e-10, 1.338473e-10, 3.558992e-10, 4.344069e+01, 2.888763e-02
2.684000e+08, 7.149111e-02, 9.944875e-01, 3.299211e-02, 7.878033e-03, 2.937186e+00, -2.965137e-01, 1.364820e+00, -1.158036e+00, 1.032735e-10, 1.765841e-10, 1.332778e-10, 3.541025e-10, 4.345899e+01, 2.916421e-02
2.722000e+08, 7.131179e-02, 9.944978e-01, 3.344310e-02, 8.011335e-03, 2.934721e+00, -3.007298e-01, 1.361637e+00, -1.166491e+00, 1.027020e-10, 1.765779e-10, 1.327267e-10, 3.523524e-10, 4.347749e+01, 2.943608e-02
2.760000e+08, 7.113029e-02, 9.945081e-01, 3.389305e-02, 8.144777e-03, 2.932268e+00, -3.049458e-01, 1.358468e+00, -1.174904e+00, 1.021187e-10, 1.765722e-10, 1.321934e-10, 3.506468e-10, 4.349619e+01, 2.970319e-02
2.798000e+08, 7.094664e-02, 9.945186e-01, 3.434192e-02, 8.278346e-03, 2.929830e+00, -3.091617e-01, 1.355312e+00, -1.183276e+00, 1.015237e-10, 1.765670e-10, 1.316779e-10, 3.489833e-10, 4.351507e+01, 2.996550e-02
2.836000e+08, 7.076084e-02, 9.945290e-01, 3.478969e-02, 8.412035e-03, 2.927406e+00, -3.133774e-01, 1.352168e+00, -1.191608e+00, 1.009169e-10, 1.765623e-10, 1.311798e-10, 3.473600e-10, 4.353415e+01, 3.022296e-02
2.874000e+08, 7.057290e-02, 9.945396e-01, 3.523633e-02, 8.545832e-03, 2.924997e+00, -3.175930e-01, 1.349036e+00, -1.199902e+00, 1.002982e-10, 1.765580e-10, 1.306989e-10, 3.457748e-10, 4.355342e+01, 3.047552e-02
2.912000e+08, 7.038284e-02, 9.945502e-01, 3.568180e-02, 8.679728e-03, 2.922602e+00, -3.218086e-01, 1.345916e+00, -1.208157e+00, 9.966767e-11, 1.765541e-10, 1.302350e-10, 3.442261e-10, 4.357287e+01, 3.072315e-02
2.950000e+08, 7.019068e-02, 9.945609e-01, 3.612607e-02, 8.813713e-03, 2.920222e+00, -3.260240e-01, 1.342806e+00, -1.216376e+00, 9.902515e-11, 1.765507e-10, 1.297880e-10, 3.427120e-10, 4.359252e+01, 3.096578e-02
2.988000e+08, 6.999641e-02, 9.945716e-01, 3.656913e-02, 8.947777e-03, 2.917858e+00, -3.302393e-01, 1.339707e+00, -1.224559e+00, 9.837056e-11, 1.765476e-10, 1.293577e-10, 3.412309e-10, 4.361234e+01, 3.120339e-02
3.026000e+08, 6.980005e-02, 9.945824e-01, 3.701093e-02, 9.081911e-03, 2.915509e+00, -3.344546e-01, 1.336619e+00, -1.232706e+00, 9.770382e-11, 1.765449e-10, 1.289440e-10, 3.397812e-10, 4.363234e+01, 3.143593e-02
3.064000e+08, 6.960162e-02, 9.945933e-01, 3.745144e-02, 9.216105e-03, 2.913176e+00, -3.386698e-01, 1.333540e+00, -1.240819e+00, 9.702483e-11, 1.765426e-10, 1.285468e-10, 3.383615e-10, 4.365252e+01, 3.166336e-02
3.102000e+08, 6.940113e-02, 9.946041e-01, 3.789064e-02, 9.350349e-03, 2.910860e+00, -3.428850e-01, 1.330471e+00, -1.248897e+00, 9.633346e-11, 1.765406e-10, 1.281659e-10, 3.369704e-10, 4.367288e+01, 3.188564e-02
3.140000e+08, 6.919859e-02, 9.946151e-01, 3.832849e-02, 9.484634e-03, 2.908560e+00, -3.471001e-01, 1.327411e+00, -1.256943e+00, 9.562959e-11, 1.765389e-10, 1.278013e-10, 3.356065e-10, 4.369341e+01, 3.210272e-02
3.178000e+08, 6.899400e-02, 9.946261e-01, 3.876497e-02, 9.618950e-03, 2.906277e+00, -3.513151e-01, 1.324359e+00, -1.264956e+00, 9.491308e-11, 1.765376e-10, 1.274530e-10, 3.342687e-10, 4.371411e+01, 3.231458e-02
3.216000e+08, 6.878739e-02, 9.946371e-01, 3.920004e-02, 9.753288e-03, 2.904010e+00, -3.555301e-01, 1.321316e+00, -1.272937e+00, 9.418378e-11, 1.765366e-10, 1.271207e-10, 3.329556e-10, 4.373498e+01, 3.252117e-02
3.254000e+08, 6.857876e-02, 9.946482e-01, 3.963367e-02, 9.887638e-03, 2.901762e+00, -3.597452e-01, 1.318281e+00, -1.280887e+00, 9.344153e-11, 1.765359e-10, 1.268046e-10, 3.316663e-10, 4.375602e+01, 3.272245e-02
3.292000e+08, 6.836813e-02, 9.946592e-01, 4.006583e-02, 1.002199e-02, 2.899531e+00, -3.639601e-01, 1.315253e+00, -1.288806e+00, 9.268617e-11, 1.765355e-10, 1.265044e-10, 3.303997e-10, 4.377722e+01, 3.291840e-02
3.330000e+08, 6.815550e-02, 9.946704e-01, 4.049650e-02, 1.015634e-02, 2.897318e+00, -3.681751e-01, 1.312233e+00, -1.296694e+00, 9.191751e-11, 1.765354e-10, 1.262202e-10, 3.291546e-10, 4.379859e+01, 3.310896e-02
3.368000e+08, 6.794090e-02, 9.946815e-01, 4.092564e-02, 1.029067e-02, 2.895123e+00, -3.723901e-01, 1.309219e+00, -1.304553e+00, 9.113537e-11, 1.765355e-10, 1.259519e-10, 3.279303e-10, 4.382011e+01, 3.329412e-02
3.406000e+08, 6.772433e-02, 9.946927e-01, 4.135322e-02, 1.042498e-02, 2.892947e+00, -3.766051e-01, 1.306212e+00, -1.312383e+00, 9.033954e-11, 1.765359e-10, 1.256994e-10, 3.267257e-10, 4.384179e+01, 3.347383e-02
3.444000e+08, 6.750580e-02, 9.947039e-01, 4.177922e-02, 1.055925e-02, 2.890790e+00, -3.808201e-01, 1.303211e+00, -1.320184e+00, 8.952982e-11, 1.765366e-10, 1.254627e-10, 3.255401e-10, 4.386363e+01, 3.364807e-02
3.482000e+08, 6.728533e-02, 9.947151e-01, 4.220360e-02, 1.069348e-02, 2.888652e+00, -3.850351e-01, 1.300215e+00, -1.327956e+00, 8.870599e-11, 1.765375e-10, 1.252417e-10, 3.243725e-10, 4.388562e+01, 3.381679e-02
3.520000e+08, 6.706293e-02, 9.947263e-01, 4.262633e-02, 1.082766e-02, 2.886535e+00, -3.892501e-01, 1.297225e+00, -1.335701e+00, 8.786780e-11, 1.765386e-10, 1.250364e-10, 3.232224e-10, 4.390776e+01, 3.397997e-02
3.558000e+08, 6.683861e-02, 9.947375e-01, 4.304739e-02, 1.096178e-02, 2.884437e+00, -3.934652e-01, 1.294240e+00, -1.343418e+00, 8.701503e-11, 1.765400e-10, 1.248467e-10, 3.220888e-10, 4.393005e+01, 3.413758e-02
3.596000e+08, 6.661238e-02, 9.947488e-01, 4.346674e-02, 1.109584e-02, 2.882359e+00, -3.976802e-01, 1.291259e+00, -1.351109e+00, 8.614741e-11, 1.765416e-10, 1.246725e-10, 3.209712e-10, 4.395249e+01, 3.428958e-02
3.634000e+08, 6.638426e-02, 9.947600e-01, 4.388436e-02, 1.122982e-02, 2.880302e+00, -4.018954e-01, 1.288282e+00, -1.358772e+00, 8.526470e-11, 1.765434e-10, 1.245138e-10, 3.198688e-10, 4.397506e+01, 3.443595e-02
3.672000e+08, 6.615426e-02, 9.947712e-01, 4.430022e-02, 1.136371e-02, 2.878266e+00, -4.061105e-01, 1.285309e+00, -1.366409e+00, 8.436660e-11, 1.765455e-10, 1.243705e-10, 3.187811e-10, 4.399778e+01, 3.457666e-02
3.710000e+08, 6.592239e-02, 9.947824e-01, 4.471430e-02, 1.149751e-02, 2.876252e+00, -4.103258e-01, 1.282340e+00, -1.374021e+00, 8.345284e-11, 1.765477e-10, 1.242426e-10, 3.177075e-10, 4.402064e+01, 3.471167e-02
