Frequency [Hz], |S02| [-], |S12| [-], |S22| [-], |S32| [-], Arg(S02) [-], Arg(S12) [-], Arg(S22) [-], Arg(S32) [-], Delay 2>0 [s], Delay 2>1 [s], Delay 2>2 [s], Delay 2>3 [s], |Z2| [Ohm] , Arg(Z2) [-]
2.000000e+08, 2.391942e-02, 7.413962e-03, 1.014338e-01, 9.624003e-01, 1.603401e+00, -1.678086e+00, 2.916485e+00, -2.089977e-01, 2.494142e-10, 3.783972e-10, -6.206613e-11, 1.916917e-10, 4.100643e+01, 4.572126e-02
2.038000e+08, 2.432388e-02, 7.603411e-03, 1.012798e-01, 9.623157e-01, 1.597446e+00, -1.687121e+00, 2.917967e+00, -2.135745e-01, 2.489892e-10, 3.605387e-10, -5.722489e-11, 1.910593e-10, 4.101603e+01, 4.535539e-02
2.076000e+08, 2.472622e-02, 7.792407e-03, 1.011260e-01, 9.622310e-01, 1.591501e+00, -1.695729e+00, 2.919333e+00, -2.181363e-01, 2.485298e-10, 3.447915e-10, -5.261757e-11, 1.904540e-10, 4.102585e+01, 4.501348e-02
2.114000e+08, 2.512648e-02, 7.980898e-03, 1.009723e-01, 9.621462e-01, 1.585567e+00, -1.703962e+00, 2.920589e+00, -2.226836e-01, 2.480385e-10, 3.308764e-10, -4.822902e-11, 1.898740e-10, 4.103590e+01, 4.469422e-02
2.152000e+08, 2.552471e-02, 8.168850e-03, 1.008186e-01, 9.620613e-01, 1.579645e+00, -1.711862e+00, 2.921741e+00, -2.272170e-01, 2.475177e-10, 3.185534e-10, -4.404536e-11, 1.893175e-10, 4.104617e+01, 4.439643e-02
2.190000e+08, 2.592095e-02, 8.356237e-03, 1.006647e-01, 9.619764e-01, 1.573735e+00, -1.719467e+00, 2.922792e+00, -2.317372e-01, 2.469696e-10, 3.076165e-10, -4.005388e-11, 1.887830e-10, 4.105666e+01, 4.411897e-02
2.228000e+08, 2.631525e-02, 8.543046e-03, 1.005103e-01, 9.618914e-01, 1.567839e+00, -1.726812e+00, 2.923749e+00, -2.362446e-01, 2.463964e-10, 2.978889e-10, -3.624295e-11, 1.882692e-10, 4.106737e+01, 4.386081e-02
2.266000e+08, 2.670766e-02, 8.729269e-03, 1.003555e-01, 9.618064e-01, 1.561956e+00, -1.733925e+00, 2.924614e+00, -2.407397e-01, 2.458002e-10, 2.892188e-10, -3.260184e-11, 1.877747e-10, 4.107831e+01, 4.362095e-02
2.304000e+08, 2.709820e-02, 8.914906e-03, 1.002000e-01, 9.617214e-01, 1.556087e+00, -1.740830e+00, 2.925393e+00, -2.452231e-01, 2.451830e-10, 2.814756e-10, -2.912073e-11, 1.872983e-10, 4.108948e+01, 4.339846e-02
2.342000e+08, 2.748692e-02, 9.099956e-03, 1.000437e-01, 9.616365e-01, 1.550233e+00, -1.747550e+00, 2.926088e+00, -2.496950e-01, 2.445467e-10, 2.745470e-10, -2.579056e-11, 1.868391e-10, 4.110087e+01, 4.319248e-02
2.380000e+08, 2.787387e-02, 9.284427e-03, 9.988647e-02, 9.615516e-01, 1.544394e+00, -1.754106e+00, 2.926704e+00, -2.541560e-01, 2.438929e-10, 2.683360e-10, -2.260299e-11, 1.863960e-10, 4.111249e+01, 4.300217e-02
2.418000e+08, 2.825907e-02, 9.468324e-03, 9.972830e-02, 9.614668e-01, 1.538571e+00, -1.760512e+00, 2.927243e+00, -2.586064e-01, 2.432235e-10, 2.627586e-10, -1.955031e-11, 1.859681e-10, 4.112433e+01, 4.282676e-02
2.456000e+08, 2.864256e-02, 9.651657e-03, 9.956904e-02, 9.613821e-01, 1.532764e+00, -1.766786e+00, 2.927710e+00, -2.630466e-01, 2.425400e-10, 2.577421e-10, -1.662543e-11, 1.855546e-10, 4.113640e+01, 4.266551e-02
2.494000e+08, 2.902438e-02, 9.834435e-03, 9.940861e-02, 9.612975e-01, 1.526973e+00, -1.772940e+00, 2.928107e+00, -2.674769e-01, 2.418440e-10, 2.532232e-10, -1.382178e-11, 1.851547e-10, 4.114870e+01, 4.251772e-02
2.532000e+08, 2.940455e-02, 1.001667e-02, 9.924692e-02, 9.612132e-01, 1.521198e+00, -1.778986e+00, 2.928437e+00, -2.718977e-01, 2.411368e-10, 2.491469e-10, -1.113328e-11, 1.847677e-10, 4.116122e+01, 4.238273e-02
2.570000e+08, 2.978312e-02, 1.019837e-02, 9.908389e-02, 9.611290e-01, 1.515441e+00, -1.784935e+00, 2.928703e+00, -2.763092e-01, 2.404199e-10, 2.454651e-10, -8.554321e-12, 1.843929e-10, 4.117398e+01, 4.225991e-02
2.608000e+08, 3.016011e-02, 1.037955e-02, 9.891946e-02, 9.610451e-01, 1.509701e+00, -1.790795e+00, 2.928907e+00, -2.807118e-01, 2.396945e-10, 2.421355e-10, -6.079685e-12, 1.840298e-10, 4.118696e+01, 4.214866e-02
2.646000e+08, 3.053555e-02, 1.056021e-02, 9.875356e-02, 9.609614e-01, 1.503978e+00, -1.796577e+00, 2.929052e+00, -2.851057e-01, 2.389619e-10, 2.391212e-10, -3.704542e-12, 1.836778e-10, 4.120017e+01, 4.204841e-02
2.684000e+08, 3.090946e-02, 1.074037e-02, 9.858613e-02, 9.608780e-01, 1.498272e+00, -1.802286e+00, 2.929141e+00, -2.894912e-01, 2.382233e-10, 2.363896e-10, -1.424411e-12, 1.833363e-10, 4.121361e+01, 4.195862e-02
2.722000e+08, 3.128188e-02, 1.092005e-02, 9.841710e-02, 9.607949e-01, 1.492584e+00, -1.807930e+00, 2.929175e+00, -2.938686e-01, 2.374796e-10, 2.339119e-10, 7.648739e-13, 1.830049e-10, 4.122728e+01, 4.187876e-02
2.760000e+08, 3.165283e-02, 1.109924e-02, 9.824643e-02, 9.607121e-01, 1.486914e+00, -1.813515e+00, 2.929156e+00, -2.982380e-01, 2.367319e-10, 2.316627e-10, 2.867183e-12, 1.826832e-10, 4.124118e+01, 4.180834e-02
2.798000e+08, 3.202233e-02, 1.127796e-02, 9.807406e-02, 9.606298e-01, 1.481262e+00, -1.819046e+00, 2.929088e+00, -3.025998e-01, 2.359813e-10, 2.296195e-10, 4.886115e-12, 1.823707e-10, 4.125532e+01, 4.174688e-02
2.836000e+08, 3.239041e-02, 1.145622e-02, 9.789995e-02, 9.605478e-01, 1.475628e+00, -1.824528e+00, 2.928971e+00, -3.069541e-01, 2.352285e-10, 2.277622e-10, 6.825024e-12, 1.820670e-10, 4.126968e+01, 4.169393e-02
2.874000e+08, 3.275709e-02, 1.163402e-02, 9.772405e-02, 9.604662e-01, 1.470011e+00, -1.829967e+00, 2.928808e+00, -3.113012e-01, 2.344746e-10, 2.260730e-10, 8.687028e-12, 1.817719e-10, 4.128427e+01, 4.164904e-02
2.912000e+08, 3.312239e-02, 1.181139e-02, 9.754632e-02, 9.603851e-01, 1.464413e+00, -1.835364e+00, 2.928601e+00, -3.156412e-01, 2.337202e-10, 2.245360e-10, 1.047504e-11, 1.814849e-10, 4.129909e+01, 4.161178e-02
2.950000e+08, 3.348633e-02, 1.198832e-02, 9.736673e-02, 9.603045e-01, 1.458833e+00, -1.840725e+00, 2.928351e+00, -3.199743e-01, 2.329661e-10, 2.231370e-10, 1.219177e-11, 1.812057e-10, 4.131414e+01, 4.158177e-02
2.988000e+08, 3.384893e-02, 1.216482e-02, 9.718523e-02, 9.602243e-01, 1.453271e+00, -1.846053e+00, 2.928060e+00, -3.243008e-01, 2.322131e-10, 2.218631e-10, 1.383974e-11, 1.809341e-10, 4.132943e+01, 4.155860e-02
3.026000e+08, 3.421021e-02, 1.234090e-02, 9.700180e-02, 9.601447e-01, 1.447726e+00, -1.851350e+00, 2.927729e+00, -3.286208e-01, 2.314618e-10, 2.207030e-10, 1.542134e-11, 1.806698e-10, 4.134494e+01, 4.154189e-02
3.064000e+08, 3.457018e-02, 1.251656e-02, 9.681641e-02, 9.600656e-01, 1.442200e+00, -1.856620e+00, 2.927361e+00, -3.329345e-01, 2.307128e-10, 2.196464e-10, 1.693875e-11, 1.804125e-10, 4.136068e+01, 4.153129e-02
3.102000e+08, 3.492887e-02, 1.269182e-02, 9.662902e-02, 9.599871e-01, 1.436691e+00, -1.861864e+00, 2.926957e+00, -3.372420e-01, 2.299667e-10, 2.186839e-10, 1.839404e-11, 1.801620e-10, 4.137665e+01, 4.152644e-02
3.140000e+08, 3.528629e-02, 1.286668e-02, 9.643960e-02, 9.599093e-01, 1.431201e+00, -1.867085e+00, 2.926518e+00, -3.415436e-01, 2.292242e-10, 2.178072e-10, 1.978915e-11, 1.799180e-10, 4.139286e+01, 4.152700e-02
3.178000e+08, 3.564246e-02, 1.304114e-02, 9.624814e-02, 9.598320e-01, 1.425728e+00, -1.872286e+00, 2.926045e+00, -3.458394e-01, 2.284856e-10, 2.170087e-10, 2.112587e-11, 1.796804e-10, 4.140929e+01, 4.153264e-02
3.216000e+08, 3.599738e-02, 1.321522e-02, 9.605461e-02, 9.597554e-01, 1.420272e+00, -1.877467e+00, 2.925541e+00, -3.501294e-01, 2.277515e-10, 2.162816e-10, 2.240589e-11, 1.794490e-10, 4.142595e+01, 4.154304e-02
3.254000e+08, 3.635108e-02, 1.338891e-02, 9.585899e-02, 9.596794e-01, 1.414834e+00, -1.882631e+00, 2.925006e+00, -3.544140e-01, 2.270222e-10, 2.156197e-10, 2.363080e-11, 1.792235e-10, 4.144284e+01, 4.155789e-02
3.292000e+08, 3.670357e-02, 1.356222e-02, 9.566125e-02, 9.596041e-01, 1.409414e+00, -1.887779e+00, 2.924441e+00, -3.586931e-01, 2.262983e-10, 2.150172e-10, 2.480207e-11, 1.790038e-10, 4.145996e+01, 4.157688e-02
3.330000e+08, 3.705486e-02, 1.373515e-02, 9.546139e-02, 9.595296e-01, 1.404011e+00, -1.892913e+00, 2.923849e+00, -3.629670e-01, 2.255802e-10, 2.144691e-10, 2.592108e-11, 1.787898e-10, 4.147730e+01, 4.159974e-02
3.368000e+08, 3.740496e-02, 1.390772e-02, 9.525937e-02, 9.594557e-01, 1.398625e+00, -1.898034e+00, 2.923230e+00, -3.672358e-01, 2.248680e-10, 2.139706e-10, 2.698914e-11, 1.785812e-10, 4.149488e+01, 4.162617e-02
3.406000e+08, 3.775389e-02, 1.407991e-02, 9.505519e-02, 9.593826e-01, 1.393256e+00, -1.903142e+00, 2.922586e+00, -3.714997e-01, 2.241623e-10, 2.135176e-10, 2.800746e-11, 1.783780e-10, 4.151268e+01, 4.165589e-02
3.444000e+08, 3.810166e-02, 1.425174e-02, 9.484884e-02, 9.593103e-01, 1.387904e+00, -1.908240e+00, 2.921917e+00, -3.757586e-01, 2.234633e-10, 2.131060e-10, 2.897718e-11, 1.781799e-10, 4.153070e+01, 4.168865e-02
3.482000e+08, 3.844827e-02, 1.442322e-02, 9.464029e-02, 9.592388e-01, 1.382568e+00, -1.913329e+00, 2.921225e+00, -3.800129e-01, 2.227712e-10, 2.127324e-10, 2.989936e-11, 1.779869e-10, 4.154895e+01, 4.172416e-02
3.520000e+08, 3.879374e-02, 1.459433e-02, 9.442955e-02, 9.591680e-01, 1.377249e+00, -1.918408e+00, 2.920512e+00, -3.842625e-01, 2.220864e-10, 2.123934e-10, 3.077501e-11, 1.777988e-10, 4.156743e+01, 4.176219e-02
3.558000e+08, 3.913808e-02, 1.476509e-02, 9.421658e-02, 9.590981e-01, 1.371947e+00, -1.923479e+00, 2.919777e+00, -3.885077e-01, 2.214091e-10, 2.120862e-10, 3.160506e-11, 1.776155e-10, 4.158613e+01, 4.180248e-02
3.596000e+08, 3.948130e-02, 1.493549e-02, 9.400140e-02, 9.590290e-01, 1.366660e+00, -1.928543e+00, 2.919022e+00, -3.927484e-01, 2.207395e-10, 2.118078e-10, 3.239038e-11, 1.774369e-10, 4.160505e+01, 4.184478e-02
3.634000e+08, 3.982340e-02, 1.510555e-02, 9.378398e-02, 9.589607e-01, 1.361390e+00, -1.933600e+00, 2.918249e+00, -3.969849e-01, 2.200777e-10, 2.115559e-10, 3.313180e-11, 1.772629e-10, 4.162419e+01, 4.188887e-02
3.672000e+08, 4.016439e-02, 1.527526e-02, 9.356433e-02, 9.588933e-01, 1.356135e+00, -1.938651e+00, 2.917458e+00, -4.012173e-01, 2.194241e-10, 2.113281e-10, 3.383009e-11, 1.770934e-10, 4.164355e+01, 4.193450e-02
3.710000e+08, 4.050429e-02, 1.544462e-02, 9.334243e-02, 9.588268e-01, 1.350896e+00, -1.943697e+00, 2.916650e+00, -4.054456e-01, 2.187786e-10, 2.111222e-10, 3.448596e-11, 1.769282e-10, 4.166314e+01, 4.198145e-02
3.748000e+08, 4.084310e-02, 1.561364e-02, 9.311827e-02, 9.587612e-01, 1.345673e+00, -1.948737e+00, 2.915827e+00, -4.096699e-01, 2.181415e-10, 2.109364e-10, 3.510010e-11, 1.767673e-10, 4.168294e+01, 4.202950e-02
3.786000e+08, 4.118083e-02, 1.578231e-02, 9.289186e-02, 9.586964e-01, 1.340465e+00, -1.953774e+00, 2.914989e+00, -4.138904e-01, 2.175129e-10, 2.107688e-10, 3.567311e-11, 1.766106e-10, 4.170296e+01, 4.207843e-02
3.824000e+08, 4.151749e-02, 1.595065e-02, 9.266320e-02, 9.586326e-01, 1.335271e+00, -1.958806e+00, 2.914137e+00, -4.181072e-01, 2.168930e-10, 2.106177e-10, 3.620560e-11, 1.764580e-10, 4.172320e+01, 4.212803e-02
3.862000e+08, 4.185308e-02, 1.611864e-02, 9.243226e-02, 9.585697e-01, 1.330093e+00, -1.963835e+00, 2.913272e+00, -4.223203e-01, 2.162817e-10, 2.104817e-10, 3.669811e-11, 1.763094e-10, 4.174365e+01, 4.217810e-02
3.900000e+08, 4.218760e-02, 1.628630e-02, 9.219907e-02, 9.585078e-01, 1.324929e+00, -1.968860e+00, 2.912396e+00, -4.265299e-01, 2.156793e-10, 2.103592e-10, 3.715114e-11, 1.761648e-10, 4.176431e+01, 4.222841e-02
3.938000e+08, 4.252107e-02, 1.645361e-02, 9.196360e-02, 9.584467e-01, 1.319779e+00, -1.973883e+00, 2.911509e+00, -4.307361e-01, 2.150857e-10, 2.102490e-10, 3.756518e-11, 1.760239e-10, 4.178519e+01, 4.227879e-02
3.976000e+08, 4.285350e-02, 1.662059e-02, 9.172587e-02, 9.583867e-01, 1.314644e+00, -1.978903e+00, 2.910612e+00, -4.349388e-01, 2.145010e-10, 2.101498e-10, 3.794065e-11, 1.758869e-10, 4.180627e+01, 4.232903e-02
4.014000e+08, 4.318488e-02, 1.678724e-02, 9.148587e-02, 9.583275e-01, 1.309522e+00, -1.983920e+00, 2.909706e+00, -4.391383e-01, 2.139253e-10, 2.100607e-10, 3.827798e-11, 1.757536e-10, 4.182757e+01, 4.237894e-02
4.052000e+08, 4.351522e-02, 1.695354e-02, 9.124361e-02, 9.582694e-01, 1.304415e+00, -1.988936e+00, 2.908792e+00, -4.433346e-01, 2.133587e-10, 2.099804e-10, 3.857752e-11, 1.756239e-10, 4.184907e+01, 4.242833e-02
4.090000e+08, 4.384454e-02, 1.711951e-02, 9.099907e-02, 9.582122e-01, 1.299320e+00, -1.993949e+00, 2.907871e+00, -4.475278e-01, 2.128010e-10, 2.099081e-10, 3.883964e-11, 1.754977e-10, 4.187078e+01, 4.247702e-02
4.128000e+08, 4.417282e-02, 1.728515e-02, 9.075228e-02, 9.581560e-01, 1.294239e+00, -1.998961e+00, 2.906944e+00, -4.517180e-01, 2.122525e-10, 2.098428e-10, 3.906465e-11, 1.753751e-10, 4.189270e+01, 4.252483e-02
4.166000e+08, 4.450009e-02, 1.745045e-02, 9.050323e-02, 9.581008e-01, 1.289172e+00, -2.003971e+00, 2.906011e+00, -4.559053e-01, 2.117130e-10, 2.097838e-10, 3.925284e-11, 1.752558e-10, 4.191482e+01, 4.257158e-02
4.204000e+08, 4.482633e-02, 1.761542e-02, 9.025192e-02, 9.580466e-01, 1.284117e+00, -2.008980e+00, 2.905074e+00, -4.600897e-01, 2.111826e-10, 2.097302e-10, 3.940448e-11, 1.751400e-10, 4.193714e+01, 4.261710e-02
4.242000e+08, 4.515157e-02, 1.778005e-02, 8.999836e-02, 9.579934e-01, 1.279075e+00, -2.013988e+00, 2.904133e+00, -4.642714e-01, 2.106613e-10, 2.096815e-10, 3.951981e-11, 1.750274e-10, 4.195965e+01, 4.266121e-02
4.280000e+08, 4.547580e-02, 1.794434e-02, 8.974255e-02, 9.579412e-01, 1.274045e+00, -2.018994e+00, 2.903190e+00, -4.684504e-01, 2.101490e-10, 2.096368e-10, 3.959904e-11, 1.749181e-10, 4.198237e+01, 4.270375e-02
4.318000e+08, 4.579902e-02, 1.810830e-02, 8.948450e-02, 9.578899e-01, 1.269027e+00, -2.023999e+00, 2.902244e+00, -4.726267e-01, 2.096457e-10, 2.095957e-10, 3.964238e-11, 1.748120e-10, 4.200528e+01, 4.274456e-02
4.356000e+08, 4.612124e-02, 1.827193e-02, 8.922421e-02, 9.578397e-01, 1.264022e+00, -2.029004e+00, 2.901298e+00, -4.768006e-01, 2.091514e-10, 2.095575e-10, 3.964998e-11, 1.747090e-10, 4.202839e+01, 4.278346e-02
4.394000e+08, 4.644246e-02, 1.843522e-02, 8.896170e-02, 9.577905e-01, 1.259028e+00, -2.034007e+00, 2.900351e+00, -4.809719e-01, 2.086661e-10, 2.095218e-10, 3.962201e-11, 1.746090e-10, 4.205168e+01, 4.282031e-02
4.432000e+08, 4.676270e-02, 1.859818e-02, 8.869696e-02, 9.577423e-01, 1.254046e+00, -2.039010e+00, 2.899405e+00, -4.851409e-01, 2.081898e-10, 2.094880e-10, 3.955859e-11, 1.745121e-10, 4.207517e+01, 4.285495e-02
4.470000e+08, 4.708194e-02, 1.876080e-02, 8.843001e-02, 9.576951e-01, 1.249075e+00, -2.044011e+00, 2.898461e+00, -4.893076e-01, 2.077223e-10, 2.094557e-10, 3.945984e-11, 1.744181e-10, 4.209884e+01, 4.288722e-02
4.508000e+08, 4.740020e-02, 1.892308e-02, 8.816085e-02, 9.576489e-01, 1.244116e+00, -2.049012e+00, 2.897518e+00, -4.934720e-01, 2.072636e-10, 2.094245e-10, 3.932583e-11, 1.743271e-10, 4.212270e+01, 4.291698e-02
4.546000e+08, 4.771747e-02, 1.908503e-02, 8.788950e-02, 9.576037e-01, 1.239167e+00, -2.054013e+00, 2.896579e+00, -4.976343e-01, 2.068137e-10, 2.093940e-10, 3.915664e-11, 1.742389e-10, 4.214674e+01, 4.294408e-02
4.584000e+08, 4.803377e-02, 1.924664e-02, 8.761596e-02, 9.575595e-01, 1.234229e+00, -2.059012e+00, 2.895645e+00, -5.017944e-01, 2.063724e-10, 2.093638e-10, 3.895231e-11, 1.741535e-10, 4.217096e+01, 4.296836e-02
4.622000e+08, 4.834908e-02, 1.940791e-02, 8.734024e-02, 9.575163e-01, 1.229302e+00, -2.064011e+00, 2.894714e+00, -5.059525e-01, 2.059398e-10, 2.093337e-10, 3.871289e-11, 1.740708e-10, 4.219536e+01, 4.298970e-02
4.660000e+08, 4.866343e-02, 1.956884e-02, 8.706236e-02, 9.574742e-01, 1.224385e+00, -2.069009e+00, 2.893790e+00, -5.101087e-01, 2.055158e-10, 2.093033e-10, 3.843839e-11, 1.739909e-10, 4.221994e+01, 4.300795e-02
4.698000e+08, 4.897680e-02, 1.972944e-02, 8.678232e-02, 9.574330e-01, 1.219478e+00, -2.074006e+00, 2.892872e+00, -5.142629e-01, 2.051003e-10, 2.092723e-10, 3.812880e-11, 1.739136e-10, 4.224469e+01, 4.302298e-02
4.736000e+08, 4.928920e-02, 1.988969e-02, 8.650013e-02, 9.573928e-01, 1.214581e+00, -2.079003e+00, 2.891962e+00, -5.184153e-01, 2.046931e-10, 2.092405e-10, 3.778410e-11, 1.738389e-10, 4.226961e+01, 4.303464e-02
4.774000e+08, 4.960064e-02, 2.004961e-02, 8.621582e-02, 9.573537e-01, 1.209693e+00, -2.083999e+00, 2.891060e+00, -5.225659e-01, 2.042943e-10, 2.092076e-10, 3.740425e-11, 1.737668e-10, 4.229470e+01, 4.304281e-02
