Frequency [Hz], |S00| [-], |S10| [-], Arg(S00) [-], Arg(S10) [-], Delay 0>0 [s], Delay 0>1 [s], |Z0| [Ohm] , Arg(Z0) [-]
2.000000e+08, 1.967014e-02, 1.054188e+00, 2.132930e+00, -1.434082e-01, 4.573596e-10, 1.170701e-10, 4.896276e+01, 3.328717e-02
2.038000e+08, 1.975368e-02, 1.054232e+00, 2.122010e+00, -1.462034e-01, 4.573651e-10, 1.170236e-10, 4.897634e+01, 3.365632e-02
2.076000e+08, 1.983955e-02, 1.054275e+00, 2.111090e+00, -1.489975e-01, 4.570867e-10, 1.169800e-10, 4.899008e+01, 3.402738e-02
2.114000e+08, 1.992773e-02, 1.054319e+00, 2.100177e+00, -1.517905e-01, 4.565432e-10, 1.169390e-10, 4.900397e+01, 3.440015e-02
2.152000e+08, 2.001817e-02, 1.054363e+00, 2.089276e+00, -1.545826e-01, 4.557521e-10, 1.169005e-10, 4.901802e+01, 3.477443e-02
2.190000e+08, 2.011084e-02, 1.054407e+00, 2.078395e+00, -1.573737e-01, 4.547298e-10, 1.168642e-10, 4.903221e+01, 3.515005e-02
2.228000e+08, 2.020569e-02, 1.054451e+00, 2.067537e+00, -1.601640e-01, 4.534916e-10, 1.168301e-10, 4.904655e+01, 3.552683e-02
2.266000e+08, 2.030270e-02, 1.054496e+00, 2.056710e+00, -1.629534e-01, 4.520520e-10, 1.167979e-10, 4.906104e+01, 3.590464e-02
2.304000e+08, 2.040182e-02, 1.054541e+00, 2.045917e+00, -1.657421e-01, 4.504244e-10, 1.167676e-10, 4.907566e+01, 3.628332e-02
2.342000e+08, 2.050304e-02, 1.054586e+00, 2.035162e+00, -1.685300e-01, 4.486216e-10, 1.167390e-10, 4.909042e+01, 3.666276e-02
2.380000e+08, 2.060632e-02, 1.054631e+00, 2.024451e+00, -1.713173e-01, 4.466555e-10, 1.167120e-10, 4.910531e+01, 3.704283e-02
2.418000e+08, 2.071163e-02, 1.054676e+00, 2.013786e+00, -1.741039e-01, 4.445375e-10, 1.166865e-10, 4.912033e+01, 3.742342e-02
2.456000e+08, 2.081894e-02, 1.054721e+00, 2.003173e+00, -1.768900e-01, 4.422784e-10, 1.166625e-10, 4.913548e+01, 3.780443e-02
