Frequency [Hz], |S00| [-], |S10| [-], Arg(S00) [-], Arg(S10) [-], Delay 0>0 [s], Delay 0>1 [s], |Z0| [Ohm] , Arg(Z0) [-]
2.000000e+08, 6.916869e-03, 1.062002e+00, -3.010560e+00, -2.513216e-02, 5.529105e-10, 8.940343e-12, 4.931891e+01, -1.807575e-03
2.038000e+08, 6.931727e-03, 1.061940e+00, -3.023761e+00, -2.534562e-02, 5.405574e-10, 9.119069e-12, 4.931634e+01, -1.629850e-03
2.076000e+08, 6.947993e-03, 1.061877e+00, -3.036668e+00, -2.556335e-02, 5.286097e-10, 9.288106e-12, 4.931376e+01, -1.455432e-03
2.114000e+08, 6.965568e-03, 1.061814e+00, -3.049289e+00, -2.578511e-02, 5.170522e-10, 9.448212e-12, 4.931119e+01, -1.284134e-03
2.152000e+08, 6.984362e-03, 1.061752e+00, -3.061634e+00, -2.601070e-02, 5.058699e-10, 9.600077e-12, 4.930861e+01, -1.115785e-03
2.190000e+08, 7.004291e-03, 1.061689e+00, -3.073712e+00, -2.623991e-02, 4.950487e-10, 9.744334e-12, 4.930603e+01, -9.502258e-04
2.228000e+08, 7.025275e-03, 1.061627e+00, -3.085532e+00, -2.647257e-02, 4.845750e-10, 9.881565e-12, 4.930346e+01, -7.873093e-04
2.266000e+08, 7.047238e-03, 1.061564e+00, -3.097102e+00, -2.670850e-02, 4.744355e-10, 1.001230e-11, 4.930090e+01, -6.269002e-04
2.304000e+08, 7.070112e-03, 1.061502e+00, -3.108429e+00, -2.694756e-02, 4.646175e-10, 1.013703e-11, 4.929834e+01, -4.688730e-04
2.342000e+08, 7.093830e-03, 1.061440e+00, -3.119523e+00, -2.718959e-02, 4.551089e-10, 1.025621e-11, 4.929578e+01, -3.131116e-04
2.380000e+08, 7.118331e-03, 1.061378e+00, -3.130389e+00, -2.743447e-02, 4.458979e-10, 1.037026e-11, 4.929324e+01, -1.595087e-04
2.418000e+08, 7.143555e-03, 1.061316e+00, -3.141035e+00, -2.768207e-02, 4.369734e-10, 1.047955e-11, 4.929071e+01, -7.964649e-06
2.456000e+08, 7.169447e-03, 1.061255e+00, 3.131717e+00, -2.793228e-02, 4.283245e-10, 1.058444e-11, 4.928819e+01, 1.416127e-04
2.494000e+08, 7.195956e-03, 1.061194e+00, 3.121490e+00, -2.818500e-02, 4.199408e-10, 1.068525e-11, 4.928569e+01, 2.893089e-04
2.532000e+08, 7.223031e-03, 1.061133e+00, 3.111464e+00, -2.844012e-02, 4.118124e-10, 1.078229e-11, 4.928320e+01, 4.352030e-04
2.570000e+08, 7.250627e-03, 1.061073e+00, 3.101631e+00, -2.869756e-02, 4.039297e-10, 1.087584e-11, 4.928073e+01, 5.793685e-04
2.608000e+08, 7.278699e-03, 1.061013e+00, 3.091987e+00, -2.895723e-02, 3.962836e-10, 1.096616e-11, 4.927827e+01, 7.218733e-04
2.646000e+08, 7.307204e-03, 1.060954e+00, 3.082525e+00, -2.921906e-02, 3.888651e-10, 1.105348e-11, 4.927584e+01, 8.627806e-04
2.684000e+08, 7.336103e-03, 1.060895e+00, 3.073241e+00, -2.948297e-02, 3.816658e-10, 1.113803e-11, 4.927342e+01, 1.002149e-03
2.722000e+08, 7.365359e-03, 1.060837e+00, 3.064128e+00, -2.974891e-02, 3.746777e-10, 1.122001e-11, 4.927103e+01, 1.140032e-03
2.760000e+08, 7.394935e-03, 1.060779e+00, 3.055182e+00, -3.001680e-02, 3.678929e-10, 1.129961e-11, 4.926865e+01, 1.276481e-03
2.798000e+08, 7.424797e-03, 1.060722e+00, 3.046398e+00, -3.028659e-02, 3.613040e-10, 1.137701e-11, 4.926631e+01, 1.411542e-03
2.836000e+08, 7.454913e-03, 1.060666e+00, 3.037772e+00, -3.055823e-02, 3.549037e-10, 1.145237e-11, 4.926398e+01, 1.545258e-03
2.874000e+08, 7.485252e-03, 1.060610e+00, 3.029298e+00, -3.083166e-02, 3.486852e-10, 1.152585e-11, 4.926168e+01, 1.677670e-03
2.912000e+08, 7.515784e-03, 1.060555e+00, 3.020973e+00, -3.110686e-02, 3.426418e-10, 1.159757e-11, 4.925941e+01, 1.808814e-03
2.950000e+08, 7.546482e-03, 1.060500e+00, 3.012792e+00, -3.138376e-02, 3.367673e-10, 1.166768e-11, 4.925716e+01, 1.938725e-03
2.988000e+08, 7.577319e-03, 1.060446e+00, 3.004751e+00, -3.166234e-02, 3.310555e-10, 1.173629e-11, 4.925495e+01, 2.067435e-03
3.026000e+08, 7.608270e-03, 1.060393e+00, 2.996847e+00, -3.194256e-02, 3.255005e-10, 1.180351e-11, 4.925276e+01, 2.194973e-03
3.064000e+08, 7.639311e-03, 1.060341e+00, 2.989075e+00, -3.222438e-02, 3.200969e-10, 1.186944e-11, 4.925060e+01, 2.321366e-03
3.102000e+08, 7.670419e-03, 1.060289e+00, 2.981432e+00, -3.250777e-02, 3.148391e-10, 1.193419e-11, 4.924847e+01, 2.446641e-03
3.140000e+08, 7.701572e-03, 1.060238e+00, 2.973915e+00, -3.279272e-02, 3.097221e-10, 1.199783e-11, 4.924637e+01, 2.570821e-03
3.178000e+08, 7.732751e-03, 1.060188e+00, 2.966520e+00, -3.307918e-02, 3.047409e-10, 1.206045e-11, 4.924430e+01, 2.693926e-03
3.216000e+08, 7.763934e-03, 1.060139e+00, 2.959244e+00, -3.336713e-02, 2.998907e-10, 1.212212e-11, 4.924227e+01, 2.815979e-03
3.254000e+08, 7.795104e-03, 1.060090e+00, 2.952084e+00, -3.365656e-02, 2.951669e-10, 1.218290e-11, 4.924026e+01, 2.936996e-03
3.292000e+08, 7.826243e-03, 1.060042e+00, 2.945037e+00, -3.394744e-02, 2.905652e-10, 1.224287e-11, 4.923829e+01, 3.056996e-03
3.330000e+08, 7.857334e-03, 1.059995e+00, 2.938099e+00, -3.423976e-02, 2.860815e-10, 1.230208e-11, 4.923636e+01, 3.175995e-03
3.368000e+08, 7.888361e-03, 1.059949e+00, 2.931269e+00, -3.453348e-02, 2.817116e-10, 1.236058e-11, 4.923446e+01, 3.294008e-03
3.406000e+08, 7.919310e-03, 1.059904e+00, 2.924542e+00, -3.482860e-02, 2.774516e-10, 1.241841e-11, 4.923259e+01, 3.411049e-03
3.444000e+08, 7.950166e-03, 1.059860e+00, 2.917918e+00, -3.512511e-02, 2.732980e-10, 1.247563e-11, 4.923075e+01, 3.527130e-03
3.482000e+08, 7.980915e-03, 1.059816e+00, 2.911393e+00, -3.542298e-02, 2.692471e-10, 1.253227e-11, 4.922896e+01, 3.642263e-03
3.520000e+08, 8.011545e-03, 1.059773e+00, 2.904964e+00, -3.572220e-02, 2.652955e-10, 1.258836e-11, 4.922719e+01, 3.756461e-03
3.558000e+08, 8.042044e-03, 1.059731e+00, 2.898630e+00, -3.602276e-02, 2.614400e-10, 1.264393e-11, 4.922546e+01, 3.869733e-03
3.596000e+08, 8.072401e-03, 1.059690e+00, 2.892388e+00, -3.632465e-02, 2.576773e-10, 1.269902e-11, 4.922377e+01, 3.982089e-03
3.634000e+08, 8.102604e-03, 1.059650e+00, 2.886235e+00, -3.662785e-02, 2.540045e-10, 1.275365e-11, 4.922212e+01, 4.093539e-03
3.672000e+08, 8.132645e-03, 1.059610e+00, 2.880171e+00, -3.693236e-02, 2.504188e-10, 1.280785e-11, 4.922049e+01, 4.204090e-03
3.710000e+08, 8.162513e-03, 1.059572e+00, 2.874192e+00, -3.723816e-02, 2.469173e-10, 1.286162e-11, 4.921891e+01, 4.313752e-03
3.748000e+08, 8.192200e-03, 1.059534e+00, 2.868296e+00, -3.754524e-02, 2.434973e-10, 1.291499e-11, 4.921736e+01, 4.422532e-03
3.786000e+08, 8.221698e-03, 1.059497e+00, 2.862482e+00, -3.785360e-02, 2.401564e-10, 1.296797e-11, 4.921585e+01, 4.530438e-03
3.824000e+08, 8.251000e-03, 1.059461e+00, 2.856748e+00, -3.816323e-02, 2.368920e-10, 1.302057e-11, 4.921437e+01, 4.637475e-03
3.862000e+08, 8.280097e-03, 1.059426e+00, 2.851092e+00, -3.847411e-02, 2.337019e-10, 1.307281e-11, 4.921293e+01, 4.743652e-03
3.900000e+08, 8.308985e-03, 1.059391e+00, 2.845513e+00, -3.878624e-02, 2.305838e-10, 1.312469e-11, 4.921153e+01, 4.848974e-03
3.938000e+08, 8.337656e-03, 1.059358e+00, 2.840007e+00, -3.909960e-02, 2.275356e-10, 1.317621e-11, 4.921016e+01, 4.953449e-03
3.976000e+08, 8.366105e-03, 1.059325e+00, 2.834574e+00, -3.941420e-02, 2.245551e-10, 1.322739e-11, 4.920882e+01, 5.057081e-03
4.014000e+08, 8.394328e-03, 1.059293e+00, 2.829213e+00, -3.973002e-02, 2.216404e-10, 1.327822e-11, 4.920753e+01, 5.159876e-03
4.052000e+08, 8.422319e-03, 1.059262e+00, 2.823921e+00, -4.004705e-02, 2.187896e-10, 1.332871e-11, 4.920627e+01, 5.261841e-03
4.090000e+08, 8.450075e-03, 1.059231e+00, 2.818697e+00, -4.036529e-02, 2.160010e-10, 1.337885e-11, 4.920504e+01, 5.362982e-03
4.128000e+08, 8.477592e-03, 1.059202e+00, 2.813540e+00, -4.068472e-02, 2.132726e-10, 1.342864e-11, 4.920385e+01, 5.463303e-03
4.166000e+08, 8.504867e-03, 1.059173e+00, 2.808448e+00, -4.100535e-02, 2.106030e-10, 1.347808e-11, 4.920269e+01, 5.562811e-03
4.204000e+08, 8.531897e-03, 1.059144e+00, 2.803419e+00, -4.132715e-02, 2.079904e-10, 1.352717e-11, 4.920157e+01, 5.661510e-03
4.242000e+08, 8.558678e-03, 1.059117e+00, 2.798453e+00, -4.165013e-02, 2.054334e-10, 1.357591e-11, 4.920048e+01, 5.759407e-03
4.280000e+08, 8.585211e-03, 1.059090e+00, 2.793548e+00, -4.197427e-02, 2.029305e-10, 1.362428e-11, 4.919942e+01, 5.856508e-03
4.318000e+08, 8.611491e-03, 1.059064e+00, 2.788703e+00, -4.229956e-02, 2.004803e-10, 1.367228e-11, 4.919840e+01, 5.952817e-03
4.356000e+08, 8.637519e-03, 1.059039e+00, 2.783917e+00, -4.262600e-02, 1.980814e-10, 1.371991e-11, 4.919741e+01, 6.048340e-03
4.394000e+08, 8.663293e-03, 1.059015e+00, 2.779187e+00, -4.295358e-02, 1.957326e-10, 1.376715e-11, 4.919646e+01, 6.143084e-03
4.432000e+08, 8.688813e-03, 1.058991e+00, 2.774514e+00, -4.328229e-02, 1.934325e-10, 1.381399e-11, 4.919554e+01, 6.237053e-03
4.470000e+08, 8.714077e-03, 1.058967e+00, 2.769895e+00, -4.361211e-02, 1.911801e-10, 1.386044e-11, 4.919465e+01, 6.330255e-03
4.508000e+08, 8.739086e-03, 1.058945e+00, 2.765331e+00, -4.394304e-02, 1.889742e-10, 1.390648e-11, 4.919379e+01, 6.422695e-03
4.546000e+08, 8.763841e-03, 1.058923e+00, 2.760819e+00, -4.427508e-02, 1.868138e-10, 1.395209e-11, 4.919296e+01, 6.514378e-03
4.584000e+08, 8.788340e-03, 1.058902e+00, 2.756358e+00, -4.460820e-02, 1.846976e-10, 1.399728e-11, 4.919216e+01, 6.605313e-03
4.622000e+08, 8.812586e-03, 1.058881e+00, 2.751949e+00, -4.494240e-02, 1.826249e-10, 1.404202e-11, 4.919140e+01, 6.695504e-03
4.660000e+08, 8.836579e-03, 1.058861e+00, 2.747588e+00, -4.527767e-02, 1.805946e-10, 1.408631e-11, 4.919066e+01, 6.784959e-03
4.698000e+08, 8.860320e-03, 1.058841e+00, 2.743276e+00, -4.561399e-02, 1.786058e-10, 1.413014e-11, 4.918996e+01, 6.873684e-03
4.736000e+08, 8.883811e-03, 1.058822e+00, 2.739012e+00, -4.595137e-02, 1.766577e-10, 1.417350e-11, 4.918928e+01, 6.961687e-03
4.774000e+08, 8.907053e-03, 1.058804e+00, 2.734794e+00, -4.628977e-02, 1.747493e-10, 1.421638e-11, 4.918863e+01, 7.048973e-03
4.812000e+08, 8.930049e-03, 1.058786e+00, 2.730622e+00, -4.662921e-02, 1.728800e-10, 1.425876e-11, 4.918801e+01, 7.135551e-03
4.850000e+08, 8.952800e-03, 1.058769e+00, 2.726494e+00, -4.696965e-02, 1.710488e-10, 1.430063e-11, 4.918742e+01, 7.221428e-03
4.888000e+08, 8.975308e-03, 1.058752e+00, 2.722410e+00, -4.731109e-02, 1.692552e-10, 1.434199e-11, 4.918685e+01, 7.306611e-03
4.926000e+08, 8.997576e-03, 1.058735e+00, 2.718369e+00, -4.765352e-02, 1.674983e-10, 1.438283e-11, 4.918631e+01, 7.391108e-03
4.964000e+08, 9.019606e-03, 1.058720e+00, 2.714370e+00, -4.799693e-02, 1.657775e-10, 1.442312e-11, 4.918580e+01, 7.474927e-03
5.002000e+08, 9.041402e-03, 1.058704e+00, 2.710411e+00, -4.834130e-02, 1.640922e-10, 1.446287e-11, 4.918532e+01, 7.558076e-03
5.040000e+08, 9.062966e-03, 1.058689e+00, 2.706494e+00, -4.868661e-02, 1.624417e-10, 1.450206e-11, 4.918486e+01, 7.640564e-03
5.078000e+08, 9.084301e-03, 1.058675e+00, 2.702615e+00, -4.903287e-02, 1.608254e-10, 1.454069e-11, 4.918442e+01, 7.722397e-03
5.116000e+08, 9.105410e-03, 1.058661e+00, 2.698775e+00, -4.938004e-02, 1.592427e-10, 1.457873e-11, 4.918401e+01, 7.803586e-03
5.154000e+08, 9.126297e-03, 1.058647e+00, 2.694973e+00, -4.972813e-02, 1.576931e-10, 1.461619e-11, 4.918362e+01, 7.884138e-03
5.192000e+08, 9.146965e-03, 1.058634e+00, 2.691208e+00, -5.007710e-02, 1.561761e-10, 1.465306e-11, 4.918326e+01, 7.964062e-03
5.230000e+08, 9.167418e-03, 1.058621e+00, 2.687479e+00, -5.042696e-02, 1.546911e-10, 1.468932e-11, 4.918291e+01, 8.043368e-03
5.268000e+08, 9.187659e-03, 1.058608e+00, 2.683786e+00, -5.077768e-02, 1.532376e-10, 1.472497e-11, 4.918260e+01, 8.122065e-03
5.306000e+08, 9.207691e-03, 1.058596e+00, 2.680127e+00, -5.112926e-02, 1.518151e-10, 1.475999e-11, 4.918230e+01, 8.200162e-03
5.344000e+08, 9.227520e-03, 1.058584e+00, 2.676502e+00, -5.148167e-02, 1.504233e-10, 1.479439e-11, 4.918202e+01, 8.277667e-03
5.382000e+08, 9.247148e-03, 1.058572e+00, 2.672911e+00, -5.183490e-02, 1.490616e-10, 1.482815e-11, 4.918177e+01, 8.354592e-03
5.420000e+08, 9.266579e-03, 1.058561e+00, 2.669352e+00, -5.218894e-02, 1.477296e-10, 1.486127e-11, 4.918153e+01, 8.430944e-03
5.458000e+08, 9.285818e-03, 1.058550e+00, 2.665825e+00, -5.254377e-02, 1.464269e-10, 1.489373e-11, 4.918132e+01, 8.506735e-03
5.496000e+08, 9.304869e-03, 1.058539e+00, 2.662328e+00, -5.289938e-02, 1.451531e-10, 1.492555e-11, 4.918112e+01, 8.581974e-03
5.534000e+08, 9.323736e-03, 1.058529e+00, 2.658863e+00, -5.325574e-02, 1.439077e-10, 1.495670e-11, 4.918095e+01, 8.656672e-03
5.572000e+08, 9.342422e-03, 1.058519e+00, 2.655427e+00, -5.361285e-02, 1.426905e-10, 1.498718e-11, 4.918079e+01, 8.730837e-03
5.610000e+08, 9.360933e-03, 1.058509e+00, 2.652020e+00, -5.397068e-02, 1.415010e-10, 1.501700e-11, 4.918065e+01, 8.804480e-03
5.648000e+08, 9.379272e-03, 1.058499e+00, 2.648641e+00, -5.432923e-02, 1.403388e-10, 1.504614e-11, 4.918053e+01, 8.877613e-03
5.686000e+08, 9.397444e-03, 1.058489e+00, 2.645291e+00, -5.468847e-02, 1.392037e-10, 1.507460e-11, 4.918043e+01, 8.950244e-03
5.724000e+08, 9.415452e-03, 1.058480e+00, 2.641967e+00, -5.504840e-02, 1.380953e-10, 1.510237e-11, 4.918034e+01, 9.022385e-03
5.762000e+08, 9.433302e-03, 1.058471e+00, 2.638670e+00, -5.540898e-02, 1.370131e-10, 1.512947e-11, 4.918027e+01, 9.094045e-03
5.800000e+08, 9.450998e-03, 1.058462e+00, 2.635398e+00, -5.577021e-02, 1.359570e-10, 1.515587e-11, 4.918021e+01, 9.165236e-03
