Frequency [Hz], |S00| [-], |S10| [-], Arg(S00) [-], Arg(S10) [-], Delay 0>0 [s], Delay 0>1 [s], |Z0| [Ohm] , Arg(Z0) [-]
2.000000e+08, 9.892656e-02, 9.099567e-01, 3.124099e+00, -1.730784e-02, -4.011497e-11, 1.731385e-11, 4.099917e+01, 3.495181e-03
2.038000e+08, 9.889471e-02, 9.099775e-01, 3.125057e+00, -1.772123e-02, -3.905103e-11, 1.724440e-11, 4.100167e+01, 3.302752e-03
2.076000e+08, 9.886268e-02, 9.099986e-01, 3.125989e+00, -1.813296e-02, -3.804072e-11, 1.717849e-11, 4.100420e+01, 3.115510e-03
2.114000e+08, 9.883047e-02, 9.100200e-01, 3.126897e+00, -1.854311e-02, -3.708029e-11, 1.711587e-11, 4.100675e+01, 2.933198e-03
2.152000e+08, 9.879808e-02, 9.100416e-01, 3.127783e+00, -1.895177e-02, -3.616627e-11, 1.705632e-11, 4.100933e+01, 2.755575e-03
2.190000e+08, 9.876553e-02, 9.100634e-01, 3.128646e+00, -1.935901e-02, -3.529552e-11, 1.699963e-11, 4.101193e+01, 2.582416e-03
2.228000e+08, 9.873282e-02, 9.100855e-01, 3.129489e+00, -1.976490e-02, -3.446516e-11, 1.694561e-11, 4.101455e+01, 2.413511e-03
2.266000e+08, 9.869996e-02, 9.101077e-01, 3.130312e+00, -2.016949e-02, -3.367253e-11, 1.689409e-11, 4.101719e+01, 2.248668e-03
2.304000e+08, 9.866697e-02, 9.101302e-01, 3.131116e+00, -2.057286e-02, -3.291521e-11, 1.684492e-11, 4.101985e+01, 2.087701e-03
2.342000e+08, 9.863386e-02, 9.101528e-01, 3.131902e+00, -2.097505e-02, -3.219096e-11, 1.679793e-11, 4.102253e+01, 1.930442e-03
2.380000e+08, 9.860062e-02, 9.101756e-01, 3.132670e+00, -2.137612e-02, -3.149773e-11, 1.675301e-11, 4.102522e+01, 1.776730e-03
2.418000e+08, 9.856728e-02, 9.101985e-01, 3.133422e+00, -2.177611e-02, -3.083363e-11, 1.671002e-11, 4.102793e+01, 1.626415e-03
2.456000e+08, 9.853384e-02, 9.102216e-01, 3.134159e+00, -2.217508e-02, -3.019690e-11, 1.666885e-11, 4.103065e+01, 1.479357e-03
2.494000e+08, 9.850031e-02, 9.102448e-01, 3.134880e+00, -2.257307e-02, -2.958592e-11, 1.662939e-11, 4.103339e+01, 1.335421e-03
2.532000e+08, 9.846671e-02, 9.102682e-01, 3.135586e+00, -2.297011e-02, -2.899921e-11, 1.659155e-11, 4.103614e+01, 1.194485e-03
2.570000e+08, 9.843303e-02, 9.102916e-01, 3.136278e+00, -2.336626e-02, -2.843537e-11, 1.655524e-11, 4.103889e+01, 1.056429e-03
